ID,CPF,Nome,Idade,Data_Cadastro
22,12345678910,josoe,12,2005-02-03
0,36925814700,Helena Duarte,31,2024-01-20
2,45645645645,Daniel Moreira,39,2024-01-22
3,98798798798,Carolina Batista,26,2024-01-23
4,65465465465,André Gonçalves,36,2024-01-24
5,78978978978,Sandra Martins,33,2024-01-25
6,32132132132,Alberto Ramos,41,2024-01-26
7,12312312312,Patrícia Ferreira,29,2024-01-27
8,22233344455,Ricardo Pereira,38,2024-01-28
9,88877766655,Juliana Mendes,27,2024-01-29
10,44455566677,Roberto Nogueira,50,2024-01-30
12,77788899900,Mariana Costa,32,2024-01-31
13,33322211100,Lucas Almeida,45,2024-02-01
14,66655544433,Beatriz Rocha,22,2024-02-02
15,99988877766,Fernando Lima,35,2024-02-03
16,11122233344,Ana Souza,28,2024-02-04
17,55544433322,Carlos Santos,40,2024-02-05
18,98765432100,Maria Oliveira,25,2024-02-06
19,12345678901,João Silva,30,2024-02-07
20,12345678910,pedro,12,2003-02-20
21,78945678910,josue,22,2015-02-08
